timestamp,ap_name,ssid,client_id,client_description,event_category,event_type,event_detail
2026-03-20 21:18:55,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,1c95fd18e18d261c,36:49:60:3b:fd:d7,802.1X,802.1X authentication,"""radio: 1, vap: 0, client_mac: 36:49:60:3B:FD:D7, aid: 1391074324"""
2026-03-20 21:18:55,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,1c95fd18e18d261c,36:49:60:3b:fd:d7,802.11,802.11 association,"""channel: 149, rssi: 17, band: 5"""
2026-03-20 21:18:55,061_La Leonera-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.11,802.11 disassociation,"""client not authenticated"""
2026-03-20 21:18:55,061_La Leonera-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.11,802.11 disassociation,"""client not responding"""
2026-03-20 21:18:56,061_La Leonera-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: 8A:6D:F5:89:C5:CB, aid: 1632750251"""
2026-03-20 21:18:56,061_La Leonera-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.11,802.11 association,"""channel: 11, rssi: 43, band: 2"""
2026-03-20 21:19:06,060_Felidia-AP2,Zona Wifi Rural Gratis-Alcaldia,f2f7af9c075c6f4a,Android_M7C3JXB3,802.11,802.11 disassociation,"""client not responding"""
2026-03-20 21:19:09,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.11,802.11 association,"""channel: 11, rssi: 15, band: 2"""
2026-03-20 21:19:09,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: 96:F3:B5:F9:21:D8, aid: 798334168"""
2026-03-20 21:19:22,061_La Leonera-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.11,802.11 disassociation,"""unspecified reason"""
2026-03-20 21:19:25,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,db6e3a53b1b06113,moto-g22,802.11,802.11 association,"""channel: 149, rssi: 25, band: 5"""
2026-03-20 21:19:25,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,db6e3a53b1b06113,moto-g22,802.1X,802.1X authentication,"""radio: 1, vap: 0, client_mac: 46:2A:87:41:79:C8, aid: 804836762"""
2026-03-20 21:19:32,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,db6e3a53b1b06113,moto-g22,802.11,802.11 disassociation,"""client has left AP"""
